time_min,0,17.894,38.087,58.166
0,128.265674,147.73303,166.06022,247.044819
5,198.481015,218.169896,265.845457,297.392785
10,183.427303,207.209468,225.336442,266.722355
15,176.063567,197.180558,215.75002,245.323676
20,176.291979,200.694013,227.575078,256.771428
25,243.648913,254.039506,275.677863,305.413852
30,453.696731,442.467168,365.908058,405.610788
35,1060.770091,765.520161,538.176041,526.339023
40,2801.056408,1482.071755,823.14988,745.712201
45,7917.970122,3071.584899,1253.702865,951.274548
50,19765.79389,7170.405246,2213.619019,1434.882096
55,39800.81496,15997.36534,5506.936354,3085.331776
60,64919.34592,28815.92585,11671.33381,6818.870723
65,91922.13898,43962.98904,20566.85918,12417.98603
70,120401.9543,60172.37926,32273.61438,20384.0725
75,145723.5096,75586.3473,44120.70277,29690.11005
80,167705.2219,90729.00035,55192.66594,39361.1598
85,187474.1226,103579.5278,66115.65884,48592.32671
90,205443.7281,116800.3433,76536.41794,58106.30556
95,219639.4248,127013.9248,84686.79568,67735.63572
100,229315.8663,136470.7914,92604.33905,75530.73241
105,241029.255,145977.4779,99536.15736,84260.18631
110,247146.0123,153571.271,105654.3877,90305.45603
115,253035.0214,160813.5806,110603.1648,95868.95329
120,258534.1692,166854.792,115115.8412,101888.5552
125,260123.7191,172633.0721,119595.0515,105899.8938
130,262693.6849,175102.449,119385.5435,113368.1689
135,264721.4987,180701.9899,123960.8091,114627.7243
140,263511.9816,187230.0034,129810.246,118560.7279
145,272249.1049,187066.0087,129102.7799,124553.6971
150,266737.8378,193279.6004,132462.7544,125699.6211
155,277967.4003,199098.1936,135750.4089,128115.3976
160,274745.346,200678.6926,137719.1755,128904.0285
165,277029.4987,202655.6993,144078.9575,139237.661
170,285981.4194,206065.8473,147623.5771,139678.3227
175,284512.1876,208304.8542,156884.1857,147144.2432
180,285035.6055,211232.2833,154805.9913,148927.1412
185,283202.3905,226459.2054,157830.5031,157253.7004
190,294516.9083,227396.2482,161732.1048,159014.3677
195,305371.4014,229885.2899,163465.8438,162288.9707
200,292753.321,242755.1489,165179.0267,172977.2649
205,316139.2187,253550.1107,183074.0837,186490.6815
